model_name,sm_clock,curr_batch_size,curr_energy_per_token,prev_batch_size,prev_energy_per_token,abs_decrease,pct_decrease
JunHowie/Qwen3-8B-GPTQ-Int4,330,16.0,0.1154957194164192,8.0,0.1912586514275,0.07576293201108081,39.612813039100665
JunHowie/Qwen3-8B-GPTQ-Int4,330,64.0,0.05796634322044302,16.0,0.1154957194164192,0.05752937619597618,49.810829775045015
JunHowie/Qwen3-8B-GPTQ-Int4,330,128.0,0.04857133890214703,64.0,0.05796634322044302,0.009395004318295992,16.207688455639293
JunHowie/Qwen3-8B-GPTQ-Int4,330,256.0,0.04047997650089191,128.0,0.04857133890214703,0.008091362401255117,16.65871805089863
JunHowie/Qwen3-8B-GPTQ-Int4,330,512.0,0.03816317077712919,256.0,0.04047997650089191,0.0023168057237627215,5.72333762029648
JunHowie/Qwen3-8B-GPTQ-Int4,630,16.0,0.08585553605909209,8.0,0.1463905663297495,0.06053503027065742,41.35172900028291
JunHowie/Qwen3-8B-GPTQ-Int4,630,64.0,0.04330191060195602,16.0,0.08585553605909209,0.04255362545713607,49.56421846559497
JunHowie/Qwen3-8B-GPTQ-Int4,630,128.0,0.036245629504869564,64.0,0.04330191060195602,0.0070562810970864545,16.295542157365478
JunHowie/Qwen3-8B-GPTQ-Int4,630,256.0,0.030514519945992587,128.0,0.036245629504869564,0.0057311095588769775,15.81186376720815
JunHowie/Qwen3-8B-GPTQ-Int4,630,512.0,0.028411744322740837,256.0,0.030514519945992587,0.00210277562325175,6.891065718790387
JunHowie/Qwen3-8B-GPTQ-Int4,922,16.0,0.08110067221327064,8.0,0.13954725545722632,0.058446583243955685,41.883004472180815
JunHowie/Qwen3-8B-GPTQ-Int4,922,64.0,0.039807267631245646,16.0,0.08110067221327064,0.04129340458202499,50.91622973658667
JunHowie/Qwen3-8B-GPTQ-Int4,922,128.0,0.03347153472746354,64.0,0.039807267631245646,0.006335732903782108,15.916020568086026
JunHowie/Qwen3-8B-GPTQ-Int4,930,128.0,0.03375356791111062,8.0,0.13959592249241856,0.10584235458130795,75.8205201781995
JunHowie/Qwen3-8B-GPTQ-Int4,930,256.0,0.028184846771587602,128.0,0.03375356791111062,0.00556872113952302,16.49817036879817
JunHowie/Qwen3-8B-GPTQ-Int4,930,512.0,0.02622761216732585,256.0,0.028184846771587602,0.001957234604261754,6.944279740540546
JunHowie/Qwen3-8B-GPTQ-Int4,1230,16.0,0.07923526887836461,8.0,0.13561768807091,0.05638241919254537,41.574532050026455
JunHowie/Qwen3-8B-GPTQ-Int4,1230,64.0,0.03800786545909083,16.0,0.07923526887836461,0.041227403419273785,52.03163187666172
JunHowie/Qwen3-8B-GPTQ-Int4,1230,128.0,0.03244283672244682,64.0,0.03800786545909083,0.005565028736644009,14.641781824432737
JunHowie/Qwen3-8B-GPTQ-Int4,1230,256.0,0.02768109801510947,128.0,0.03244283672244682,0.00476173870733735,14.67731921248045
JunHowie/Qwen3-8B-GPTQ-Int4,1230,512.0,0.026080360294631705,256.0,0.02768109801510947,0.0016007377204777656,5.782782603508061
JunHowie/Qwen3-8B-GPTQ-Int4,1530,16.0,0.08130066147500101,8.0,0.1370408508788856,0.05574018940388459,40.67414135741673
JunHowie/Qwen3-8B-GPTQ-Int4,1530,128.0,0.03171419903827623,16.0,0.08130066147500101,0.04958646243672478,60.991462476565495
JunHowie/Qwen3-8B-GPTQ-Int4,1530,256.0,0.026759267469764092,128.0,0.03171419903827623,0.004954931568512136,15.62370079891336
JunHowie/Qwen3-8B-GPTQ-Int4,1530,512.0,0.024572563689191446,256.0,0.026759267469764092,0.0021867037805726464,8.171762485813385
