exp_key,avg_power,avg_temperature,during_time,total_energy_diff,repeat_count,energy_per_token,energy_per_token_from_avg,sm_clock,batch_size,graph_mode,kv_group,total_energy_diff_full,energy_per_token_from_total
all_10_1320_4096_90_2.5551_gpu_profile_22268.csv,222.95038461538462,62.0,2.5551,289604,90,3217.822222222222,6.329561419230769,1320,10,all,4096,554884.0,6165.377777777778
all_10_1320_4096_90_2.5552_gpu_profile_22268.csv,222.84135714285716,62.0,2.5552,289509,90,3216.766666666667,6.326713730793651,1320,10,all,4096,555691.0,6174.344444444445
all_10_1320_4096_90_2.5556_gpu_profile_22268.csv,222.86276923076917,62.0,2.5556,289644,90,3218.266666666667,6.328312144957263,1320,10,all,4096,577163.0,6412.922222222222
all_10_1320_4096_90_2.5557_gpu_profile_22268.csv,222.83599999999996,62.0,2.5557,267268,90,2969.6444444444446,6.327799613333331,1320,10,all,4096,555370.0,6170.777777777777
all_10_1320_4096_90_2.5558_gpu_profile_22268.csv,222.7846153846154,62.0,2.5558,311811,90,3464.5666666666666,6.326588,1320,10,all,4096,577399.0,6415.544444444445
all_10_1320_4096_90_2.555_gpu_profile_22268.csv,222.97977777777777,62.0,2.555,289778,90,3219.7555555555555,6.330148135802469,1320,10,all,4096,576890.0,6409.888888888889
all_10_1320_4096_90_2.5561_gpu_profile_22268.csv,222.75223076923078,62.0,2.5561,289494,90,3216.6,6.326410856324786,1320,10,all,4096,577423.0,6415.811111111111
all_10_1320_4096_90_2.5562_gpu_profile_22268.csv,222.80621428571428,62.0,2.5562,311856,90,3465.0666666666666,6.328191610634921,1320,10,all,4096,577091.0,6412.122222222222
all_10_1320_4096_90_2.5567_gpu_profile_22268.csv,222.88853846153842,62.0,2.5567,267235,90,2969.277777777778,6.331768069829058,1320,10,all,4096,555171.0,6168.566666666667
all_10_1320_4096_90_2.5569_gpu_profile_22268.csv,222.66161538461535,62.0,2.5569,289399,90,3215.5444444444443,6.325816493076923,1320,10,all,4096,576826.0,6409.177777777778
