batch_size,kv_group,graph_mode,sm_clock,avg_power,avg_energy_per_token,points
1,1024,all,1230,213.92312781954885,14.124443204013158,266
1,1024,all,1530,266.0804649122807,14.243392465164474,228
1,1024,all,1830,283.94662631578944,13.569361045638756,208
1,1024,all,2130,318.97357464114833,14.826647140673444,199
1,1024,all,2422,383.31076172248805,17.642987293824163,195
1,1024,mani,1230,213.98308596491228,14.121953626436717,267
1,1024,mani,1530,265.63837280701756,14.21902930894737,228
1,1024,mani,1830,283.7885684210526,13.561508456966507,208
1,1024,mani,2130,318.57233636363634,14.808206230867222,199
1,1024,mani,2422,382.7256655502392,17.61610708414354,195
1,1024,seg,1230,214.92575939849624,14.150881810213658,269
1,1024,seg,1530,249.19283771929824,13.332112023848685,228
1,1024,seg,1830,284.6413923444976,13.593686932822965,209
1,1024,seg,2130,319.2696913875598,14.828900811275119,200
1,1024,seg,2422,384.91391626794257,17.70279914724402,195
1,128,all,1230,213.41920701754387,14.063339828665415,270
1,128,all,1530,265.14087719298243,14.176524645932016,228
1,128,all,1830,282.8162784688995,13.50019773955263,208
1,128,all,2130,318.49435933014354,14.784214906460525,199
1,128,all,2422,382.20525693779905,17.562029982072968,195
1,128,mani,1230,213.22937794486214,14.05321915124812,268
1,128,mani,1530,264.8905263157895,14.16181451758772,228
1,128,mani,1830,283.25632583732056,13.520382811959331,207
1,128,mani,2130,318.2545698564593,14.773000237574161,196
1,128,mani,2422,382.55886555023926,17.578730849842106,197
1,128,seg,1230,214.35648496240603,14.098531079548874,266
1,128,seg,1530,251.45823684210526,13.43956310571272,228
1,128,seg,1830,283.95812105263155,13.546670792244019,208
1,128,seg,2130,318.37957559808615,14.767617708972487,196
1,128,seg,2422,383.5457985645933,17.61040460330981,195
1,4096,all,1230,212.83009868421053,14.24998156944079,152
1,4096,all,1530,263.78438345864663,14.32613118469925,133
1,4096,all,1830,282.91081077694236,13.705765506948623,116
1,4096,all,2130,316.9078333333333,14.916850632894738,116
1,4096,all,2422,380.4500313283208,17.72686845184837,115
1,4096,mani,1230,213.81661184210526,14.287726925296052,152
1,4096,mani,1530,256.0356616541353,13.903692627744363,133
1,4096,mani,1830,283.5232656641604,13.734463727706768,117
1,4096,mani,2130,316.99744486215536,14.920653592863408,115
1,4096,mani,2422,383.6030964912281,17.873178069298245,114
1,4096,seg,1230,213.99530921052633,14.28801709243421,152
1,4096,seg,1530,247.4111879699248,13.425704466578948,133
1,4096,seg,1830,283.74059523809524,13.733417886923558,116
1,4096,seg,2130,318.48741228070173,14.977622393114032,114
1,4096,seg,2422,383.87557894736847,17.870217631842106,114
1,8192,all,1230,209.84004135338344,14.28885488942356,125
1,8192,all,1530,264.07276140350876,14.585895847988303,111
1,8192,all,1830,282.0833298245614,13.888794153707602,99
1,8192,all,2130,317.37321228070175,15.171218880467835,97
1,8192,all,2422,381.22328421052634,18.047913100701756,96
1,8192,mani,1230,214.38311152882207,14.581358824603175,124
1,8192,mani,1530,251.51581754385964,13.890997038152046,110
1,8192,mani,1830,283.27153684210526,13.946700160350877,95
1,8192,mani,2130,317.82774736842106,15.192615017263156,96
1,8192,mani,2422,382.966301754386,18.130164785520467,97
1,8192,seg,1230,212.9070889724311,14.456391644920634,124
1,8192,seg,1530,247.478049122807,13.662266655614033,109
1,8192,seg,1830,283.0234736842105,13.927237717403509,95
1,8192,seg,2130,318.36257894736843,15.206556042245614,96
1,8192,seg,2422,383.2628210526316,18.12672036166082,97
2,1024,all,1230,197.63441804511277,13.622966084451129,267
2,1024,all,1530,243.7154298245614,13.613815212916668,228
2,1024,all,1830,275.5096736842105,13.170703797527512,205
2,1024,all,2130,298.23574066985645,13.779393660357655,196
2,1024,all,2422,356.3703306220096,16.270368543688996,192
2,1024,mani,1230,197.83076466165414,13.628691477744361,267
2,1024,mani,1530,243.45524999999998,13.596655479692982,228
2,1024,mani,1830,275.25885980861244,13.158423805866027,205
2,1024,mani,2130,297.8909392344498,13.764050857197368,195
2,1024,mani,2422,356.27125311004784,16.266126403516747,192
2,1024,seg,1230,198.915705764411,13.679066548999375,267
2,1024,seg,1530,244.85813157894736,13.670429575921053,228
