batch_size,kv_group,graph_mode,sm_clock,avg_power,avg_energy_per_token,points
1,1024,mani,1320,223.27740669856462,4.576587531181818,209
1,1024,mani,1620,225.87835885167465,4.576236242779904,209
1,1024,mani,1920,233.58836842105265,4.688536723052632,209
1,1024,mani,2220,256.76766028708136,5.116690284837321,209
1,1024,mani,2520,318.61327751196177,6.312182592875598,209
1,1024,seg,1320,221.79462679425833,4.546299656282296,209
1,1024,seg,1620,226.3366172248804,4.585353531698565,209
1,1024,seg,1920,231.6981052631579,4.650766380416268,209
1,1024,seg,2220,256.9467416267942,5.120286159885167,209
1,1024,seg,2520,319.28815311004786,6.325452354502392,209
1,128,mani,1320,223.57636842105262,4.566429644138756,209
1,128,mani,1620,226.15543540669856,4.560959963200957,209
1,128,mani,1920,230.74215789473683,4.6065121141770335,209
1,128,mani,2220,256.48734449760764,5.080460870177033,209
1,128,mani,2520,323.3143366294524,6.364306811883785,204
1,128,seg,1320,220.80883253588513,4.51006694077512,209
1,128,seg,1620,226.17399999999998,4.56137011807177,209
1,128,seg,1920,232.25125837320573,4.636725227794258,209
1,128,seg,2220,258.0686889952153,5.111946779779904,209
1,128,seg,2520,320.0403923444976,6.299557550650718,209
1,4096,all,1320,224.5102779904306,4.728265192174907,195
1,4096,mani,1320,224.33156794258375,4.724645730223817,196
1,4096,mani,1620,227.81475933014352,4.743370095996279,192
1,4096,mani,1920,235.28997894736844,4.85421128577193,190
1,4096,mani,2220,256.2082315789474,5.248298514543859,190
1,4096,mani,2520,319.2618684210526,6.502655603859648,190
1,4096,seg,1320,223.9463942583732,4.716599132104731,197
1,4096,seg,1620,228.12985645933014,4.750197337889952,192
1,4096,seg,1920,233.43483971291866,4.815992853170123,191
1,4096,seg,2220,256.70010526315787,5.258179088953216,190
1,4096,seg,2520,321.5238789473684,6.548615338766081,190
1,8192,all,1320,222.9606842105263,4.889370719890351,152
1,8192,all,1620,229.4577659774436,4.960896811506892,149
1,8192,all,1920,234.55450563909773,5.017038222094299,148
1,8192,all,2220,260.11302913533837,5.521104638438284,145
1,8192,all,2520,324.03185338345867,6.8381246647258775,143
1,8192,mani,1320,221.15307236842105,4.849789915767544,152
